transcript_id	start	end	length	prob
ENST00000235453	279	1469	1191	1
ENST00000246505	36	1397	1362	1
ENST00000258105	21	359	339	0.904
ENST00000278833	542	1597	1056	1
ENST00000285021	216	3038	2823	1
ENST00000302797	219	1187	969	1
ENST00000304460	57	1961	1905	1
ENST00000304895	31	1986	1956	1
ENST00000315563	53	3646	3594	1
ENST00000328631	196	1476	1281	1
ENST00000330942	226	639	414	0.988
ENST00000343256	25	636	612	0.986
ENST00000354381	267	1370	1104	1
ENST00000359117	237	968	732	0.998
ENST00000360466	229	1008	780	1
ENST00000367433	103	3438	3336	1
ENST00000375581	36	1436	1401	1
ENST00000375911	826	1710	885	1
ENST00000376477	1291	2103	813	1
ENST00000376583	1	2094	2094	1
ENST00000378626	1	411	411	0.908
ENST00000378886	378	3020	2643	1
ENST00000379656	184	1392	1209	1
ENST00000379997	125	793	669	0.994
ENST00000380782	187	1845	1659	1
ENST00000381134	68	1837	1770	1
ENST00000388835	57	1349	1293	1
ENST00000389169	456	1484	1029	1
ENST00000395270	1042	4041	3000	1
ENST00000397940	1016	1660	645	1
ENST00000398452	212	979	768	0.998
ENST00000406385	61	1623	1563	1
ENST00000409933	1	2811	2811	1
ENST00000427414	190	2385	2196	1
ENST00000443585	257	448	192	0.332
ENST00000445724	288	716	429	0.956
ENST00000446256	1	3585	3585	1
ENST00000454449	286	1371	1086	1
ENST00000471108	5	490	486	0.988
ENST00000475075	211	1779	1569	1
ENST00000505814	177	1196	1020	1
ENST00000525771	703	1215	513	0.984
ENST00000544244	487	1620	1134	1
ENST00000544305	145	1593	1449	1
ENST00000547568	185	823	639	1
ENST00000551926	295	489	195	0.062
ENST00000553558	323	3403	3081	1
ENST00000556807	32	1594	1563	1
ENST00000568146	54	713	660	0.988
ENST00000613886	393	2126	1734	1
